/cluster/raid/home/zhivar.sourati/Advanced_NLP_course_HW2


Evaluating Test Dataset
Test F1: 0.6098 | Test Acc: 0.6099 


Epoch:   0 | Loss: 1.566 | Valid loss: 1.578 | F1 : 0.2869 | Valid F1: 0.3034


Epoch:   1 | Loss: 1.424 | Valid loss: 1.442 | F1 : 0.3686 | Valid F1: 0.3787


Epoch:   2 | Loss: 1.267 | Valid loss: 1.296 | F1 : 0.5352 | Valid F1: 0.5141


Epoch:   3 | Loss: 1.131 | Valid loss: 1.183 | F1 : 0.6288 | Valid F1: 0.5817


Epoch:   4 | Loss: 1.002 | Valid loss: 1.083 | F1 : 0.6782 | Valid F1: 0.637


Epoch:   5 | Loss: 0.8762 | Valid loss: 0.9868 | F1 : 0.7183 | Valid F1: 0.6647


Epoch:   6 | Loss: 0.7626 | Valid loss: 0.9021 | F1 : 0.758 | Valid F1: 0.6868


Epoch:   7 | Loss: 0.6682 | Valid loss: 0.8352 | F1 : 0.7906 | Valid F1: 0.6995


Epoch:   8 | Loss: 0.5938 | Valid loss: 0.7867 | F1 : 0.8123 | Valid F1: 0.7113


Epoch:   9 | Loss: 0.5356 | Valid loss: 0.7534 | F1 : 0.8301 | Valid F1: 0.7186
Evaluating Test Dataset
Test F1: 0.748 | Test Acc: 0.75 


Epoch:   0 | Loss: 0.9752 | Valid loss: 0.9838 | F1 : 0.5886 | Valid F1: 0.5539


Epoch:   1 | Loss: 0.7633 | Valid loss: 0.7733 | F1 : 0.7283 | Valid F1: 0.7225


Epoch:   2 | Loss: 0.5935 | Valid loss: 0.6132 | F1 : 0.7841 | Valid F1: 0.7672


Epoch:   3 | Loss: 0.5175 | Valid loss: 0.5509 | F1 : 0.804 | Valid F1: 0.7803


Epoch:   4 | Loss: 0.4801 | Valid loss: 0.5269 | F1 : 0.8165 | Valid F1: 0.7848


Epoch:   5 | Loss: 0.4559 | Valid loss: 0.5155 | F1 : 0.8268 | Valid F1: 0.7902


